Ap1,Ap3,Ap4,Ap5,Ap6,Ap8,Ap11,Ap12,Ap13,Ap14,Ap16,Ap19,Ap22,Ap23,Ap24,Ap27,Ap29,Ap34,Ap35,Ap38,Ap39,Ap41,Ap43,Ap45,Ap48,Ap49,Ap50,Ap56,Ap60,Ap66,Ap70,Ap74,Ap76,Ap78,Ap79,Ap85,Ap87,Ap93,Ap102,Ap104,Ap110,Ap112,Ap114,Ap117,Ap120,Ap122,Ap129,Ap131,Ap132,zona
-85.0,-53.0,-72.0,-77.0,-73.0,-77.0,-53.0,-81.0,-100.0,-74.0,-82.0,-74.0,-73.0,-81.0,-74.0,-100.0,-100.0,-72.0,-88.0,-81.0,-86.0,-91.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,1.0
-85.0,-67.0,-75.0,-79.0,-73.0,-77.0,-50.0,-81.0,-100.0,-74.0,-82.0,-74.0,-78.0,-81.0,-74.0,-100.0,-100.0,-72.0,-88.0,-81.0,-86.0,-91.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,1.0
-100.0,-67.0,-75.0,-79.0,-73.0,-100.0,-50.0,-81.0,-100.0,-100.0,-100.0,-74.0,-78.0,-81.0,-74.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,1.0
-100.0,-67.0,-75.0,-79.0,-73.0,-100.0,-50.0,-81.0,-100.0,-100.0,-100.0,-74.0,-78.0,-81.0,-74.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,1.0
-100.0,-66.0,-76.0,-79.0,-73.0,-100.0,-48.0,-83.0,-100.0,-73.0,-83.0,-72.0,-78.0,-81.0,-72.0,-100.0,-100.0,-74.0,-100.0,-82.0,-100.0,-100.0,-85.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,1.0
-100.0,-59.0,-77.0,-79.0,-78.0,-100.0,-50.0,-82.0,-100.0,-62.0,-100.0,-77.0,-100.0,-84.0,-76.0,-100.0,-100.0,-100.0,-88.0,-100.0,-100.0,-100.0,-100.0,-87.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,2.0
-100.0,-65.0,-80.0,-82.0,-78.0,-100.0,-54.0,-82.0,-100.0,-65.0,-90.0,-84.0,-100.0,-84.0,-83.0,-100.0,-100.0,-100.0,-88.0,-100.0,-100.0,-100.0,-100.0,-87.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,2.0
-100.0,-65.0,-80.0,-82.0,-78.0,-100.0,-54.0,-82.0,-100.0,-65.0,-90.0,-84.0,-100.0,-84.0,-83.0,-100.0,-100.0,-100.0,-88.0,-100.0,-100.0,-100.0,-100.0,-87.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,2.0
-100.0,-65.0,-80.0,-82.0,-78.0,-100.0,-54.0,-82.0,-100.0,-65.0,-90.0,-84.0,-100.0,-84.0,-83.0,-100.0,-100.0,-100.0,-88.0,-100.0,-100.0,-100.0,-100.0,-87.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,2.0
-89.0,-57.0,-80.0,-79.0,-79.0,-100.0,-52.0,-81.0,-100.0,-67.0,-84.0,-84.0,-77.0,-77.0,-84.0,-100.0,-100.0,-79.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,2.0
